method,alpha,n_cal,n_test,qhat,coverage,avg_set_size,top1_acc
lac,0.05,54,53,0.9999959742112574,0.9622641509433962,3.207547169811321,0.6792452830188679
aps,0.05,54,53,1.0,1.0,4.0,0.6792452830188679
lac,0.1,54,53,0.9999932321161067,0.9622641509433962,3.056603773584906,0.6792452830188679
aps,0.1,54,53,0.9999997261844464,0.9245283018867925,2.9245283018867925,0.6792452830188679
lac,0.15,54,53,0.9999311762925326,0.8867924528301887,2.3773584905660377,0.6792452830188679
aps,0.15,54,53,0.9999992171343719,0.9056603773584906,2.6792452830188678,0.6792452830188679
lac,0.2,54,53,0.99849584345077,0.7924528301886793,1.7924528301886793,0.6792452830188679
aps,0.2,54,53,0.9999988820056764,0.9056603773584906,2.6226415094339623,0.6792452830188679
lac,0.3,54,53,0.9910036389902961,0.7735849056603774,1.4528301886792452,0.6792452830188679
aps,0.3,54,53,0.9999944499739024,0.9056603773584906,2.2830188679245285,0.6792452830188679
