score,ELI5,GSM8K,MMLU,TriviaQA-WEPR,TriviaQA-num
answer_logprob_mean_seq,,0.7255,,,
answer_n_tokens,,0.4964,,,
answer_p_min_seq,,0.7354,,,
answer_perplexity_seq,,0.7255,,,
answer_prob_geo_mean_seq,,0.7255,,,
answer_prob_joint_seq,,0.7285,,,
confidence_verbalized,,,,,0.7119
epr,0.6579,0.8137,,0.6560,0.6926
judge_accuracy_5,1.0000,,,,
judge_confidence,1.0000,,,,
logprob_mean_seq,0.6179,0.8037,,0.6332,
max_softmax,,,0.5708,,
mmlu_entropy,,,0.5618,,
p_min_all,,,,,0.5846
p_min_seq,0.5766,0.7816,,0.6216,0.8528
perplexity_all,,,,,0.6220
perplexity_seq,0.6179,0.8037,,0.6332,0.8656
prob_geo_mean_all,,,,,0.6220
prob_geo_mean_seq,0.6179,0.8037,,0.6332,0.8586
prob_joint_all,,,,,0.6174
prob_joint_seq,0.5596,0.8545,,0.6384,0.8573
selfcheck,0.6118,,,,
semantic_entropy,0.5725,0.7656,,,0.6479
wepr,0.5888,0.9225,,0.6813,0.6408
