feature,coef_std
prob_all_tokens.logprob_avg,3753865.562556354
prob_all_tokens.perplexity,1618087.826933334
prob_tokens_only.p_min,226443.11663020146
prob_tokens_only.prob_geo_mean,142651.8515717277
prob_tokens_only.logprob_sum,70307.34717380119
prob_all_tokens.p_min,59550.81303283062
prob_tokens_only.n_tokens,26121.103480432743
prob_all_tokens.frac_p_gt_0_1,4193.855674164528
confidence_verbalized,3942.632007453799
prob_tokens_only.frac_p_gt_0_01,9.313225746154785e-10
prob_all_tokens.frac_p_gt_0_01,-4.5595515985041857e-07
judge_confidence,-1640.0260139987993
prob_tokens_only.frac_p_gt_0_1,-6802.852526534425
prob_all_tokens.n_tokens,-22206.381588860244
prob_all_tokens.prob_joint,-40014.67503904235
prob_tokens_only.perplexity,-53826.70450463752
prob_tokens_only.logprob_avg,-190417.14977225417
prob_tokens_only.prob_joint,-287100.3771094332
prob_all_tokens.logprob_sum,-347490.4234693053
prob_all_tokens.prob_geo_mean,-1817525.8301746906
