confidence_col,n,accuracy,score_mean,AUC,AUC_CI_lo,AUC_CI_hi,bootstrap_valid_samples
prob_tokens_only.logprob_avg,3395,0.8636229749631812,-0.018517147777757353,0.8572138376269599,0.8355496165858541,0.8778220115627358,2000
prob_tokens_only.logprob_sum,3395,0.8636229749631812,-0.05421883580400011,0.8566709342652314,0.835223916752251,0.8781298062307205,2000
prob_tokens_only.p_min,3395,0.8636229749631812,0.9744149828182868,0.8491277450873508,0.8264900395854039,0.8719558484682476,2000
prob_tokens_only.prob_geo_mean,3395,0.8636229749631812,0.9862562609842104,0.8439727413894201,0.8207037039024866,0.8661136886370137,2000
prob_tokens_only.prob_joint,3395,0.8636229749631812,0.9730499286356147,0.8435285477298242,0.8202350446046348,0.8656782369502306,2000
confidence_verbalized,3395,0.8636229749631812,0.9596229749631812,0.7193451126911211,0.6930382391979041,0.7449097998512748,2000
judge_confidence,3391,0.8643468003538779,0.9081391919787674,0.6793211250055627,0.6535670819865074,0.7043264523124717,2000
prob_all_tokens.prob_geo_mean,3395,0.8636229749631812,0.9781238377180858,0.6313325220476222,0.6032590400760511,0.6606232258012671,2000
prob_all_tokens.logprob_avg,3395,0.8636229749631812,-0.02251554678825623,0.6313325220476222,0.6032590400760511,0.6606232258012671,2000
prob_all_tokens.prob_joint,3395,0.8636229749631812,0.643894406075759,0.6280242737470498,0.5999835728187192,0.6568063873512319,2000
prob_all_tokens.logprob_sum,3395,0.8636229749631812,-0.6326080350109488,0.6280242737470498,0.5999835728187192,0.6568063873512319,2000
prob_all_tokens.p_min,3395,0.8636229749631812,0.6648972366830999,0.5993774659009544,0.571650476132483,0.627521890164901,2000
prob_all_tokens.perplexity,3395,0.8636229749631812,1.0232022667796212,0.36866747795237775,0.33937677419873286,0.3967409599239488,2000
prob_tokens_only.perplexity,3395,0.8636229749631812,1.029233489067681,0.14278616237304018,0.12217798843726417,0.16445038341414592,2000
