confidence_col,n,is_probability_like,brier,ece_10bins,mean_conf,accuracy,calib_intercept,calib_slope
prob_tokens_only.prob_joint,3395,True,0.11385185667651933,0.11384262755216876,0.9730499286349399,0.8636229749631812,-0.6096798664857682,0.14980805612830608
confidence_verbalized,3395,True,0.11745920471277937,0.09599999999975764,0.9596229749629387,0.8636229749631812,1.4739934111507063,0.049884850448787425
prob_tokens_only.prob_geo_mean,3395,True,0.12053468493509002,0.12263328602035437,0.9862562609835356,0.8636229749631812,-0.8560441979360452,0.1587577088962439
judge_confidence,3391,True,0.12460560306693483,0.08182836921259096,0.9081391919787365,0.8643468003538779,1.667783411505472,0.06108856666355792
prob_all_tokens.prob_geo_mean,3395,True,0.1277750348819851,0.1145008627549046,0.9781238377180858,0.8636229749631812,0.3476837779841859,0.34527513032363943
prob_all_tokens.p_min,3395,True,0.21213625384908558,0.22354990594404464,0.6648972366830999,0.8636229749631812,1.6728856658838585,0.1970331594892155
prob_all_tokens.prob_joint,3395,True,0.21555177133563996,0.24221070022830288,0.643894406075759,0.8636229749631812,1.6850331003159316,0.2735166504495657
prob_tokens_only.logprob_sum,3395,False,,,-0.05421883580400011,0.8636229749631812,,
prob_tokens_only.logprob_avg,3395,False,,,-0.018517147777757353,0.8636229749631812,,
prob_tokens_only.perplexity,3395,False,,,1.029233489067681,0.8636229749631812,,
prob_tokens_only.p_min,3395,False,,,0.9744149828182868,0.8636229749631812,,
prob_all_tokens.logprob_sum,3395,False,,,-0.6326080350109488,0.8636229749631812,,
prob_all_tokens.logprob_avg,3395,False,,,-0.02251554678825623,0.8636229749631812,,
prob_all_tokens.perplexity,3395,False,,,1.0232022667796212,0.8636229749631812,,
