confidence_col,error_col,n_wrong,pearson_wrong_only,spearman_wrong_only
confidence_verbalized,abs_error,463,-0.03002703667449577,-0.1319581155537888
confidence_verbalized,rel_error,463,-0.035792473209246355,0.15677606331221103
confidence_verbalized,log_error,463,-0.05367033027355815,0.14283459557464098
confidence_verbalized,log1p_abs_error,463,-0.11942993022335574,-0.1319581155537888
judge_confidence,abs_error,460,-0.006304701184163053,-0.032684746895914
judge_confidence,rel_error,460,-0.012206661161473982,0.04737638526696923
judge_confidence,log_error,460,-0.1292131749092423,0.03792210762336655
judge_confidence,log1p_abs_error,460,-0.12542631743398774,-0.032684746895914
prob_tokens_only.prob_joint,abs_error,463,-0.02038177591361183,-0.15201444309032838
prob_tokens_only.prob_joint,rel_error,463,-0.027630207822183075,-0.15837366662846494
prob_tokens_only.prob_joint,log_error,463,-0.04453421524248963,-0.1802999358541489
prob_tokens_only.prob_joint,log1p_abs_error,463,-0.05195339068173404,-0.15201444309032838
prob_tokens_only.prob_geo_mean,abs_error,463,0.02403817531879066,-0.14996452867965318
prob_tokens_only.prob_geo_mean,rel_error,463,0.02007418677333167,-0.1988072487711864
prob_tokens_only.prob_geo_mean,log_error,463,-0.023711831580590387,-0.222228890586651
prob_tokens_only.prob_geo_mean,log1p_abs_error,463,-0.010225125936158395,-0.14996452867965318
prob_tokens_only.logprob_sum,abs_error,463,0.005245173069697371,-0.15264291541700847
prob_tokens_only.logprob_sum,rel_error,463,0.0018762045369818121,-0.16500601265804105
prob_tokens_only.logprob_sum,log_error,463,-5.5752420995557715e-05,-0.18573642226112272
prob_tokens_only.logprob_sum,log1p_abs_error,463,-0.003516031803168608,-0.15264291541700847
prob_tokens_only.logprob_avg,abs_error,463,0.023010081682346046,-0.14602447474440114
prob_tokens_only.logprob_avg,rel_error,463,0.019847534204957547,-0.19242978488479281
prob_tokens_only.logprob_avg,log_error,463,-0.012802713938690546,-0.21404189715965277
prob_tokens_only.logprob_avg,log1p_abs_error,463,-0.003987743645899137,-0.14602447474440114
prob_tokens_only.perplexity,abs_error,463,-0.018036330816235638,0.14602447474440114
prob_tokens_only.perplexity,rel_error,463,-0.015957035592259347,0.19242978488479281
prob_tokens_only.perplexity,log_error,463,0.0010040192303997352,0.21404189715965277
prob_tokens_only.perplexity,log1p_abs_error,463,0.0005086541494571692,0.14602447474440114
prob_tokens_only.p_min,abs_error,463,0.00038363996894373446,-0.13290864528513643
prob_tokens_only.p_min,rel_error,463,-0.005630014367843555,-0.1383559338826334
prob_tokens_only.p_min,log_error,463,-0.03268578657565619,-0.15888145783044771
prob_tokens_only.p_min,log1p_abs_error,463,-0.03213159627738644,-0.13290864528513643
prob_all_tokens.prob_joint,abs_error,463,-0.04748831945359811,-0.04360537354029119
prob_all_tokens.prob_joint,rel_error,463,-0.0605397031022586,-0.0032464316454498708
prob_all_tokens.prob_joint,log_error,463,-0.041647417926258555,-0.02122418126603161
prob_all_tokens.prob_joint,log1p_abs_error,463,-0.06125490199727844,-0.04360537354029119
prob_all_tokens.prob_geo_mean,abs_error,463,-0.0068413012673981515,-0.047282726768026764
prob_all_tokens.prob_geo_mean,rel_error,463,-0.01523345783918937,-0.021579481709772537
prob_all_tokens.prob_geo_mean,log_error,463,-0.006134411784802337,-0.03998956706360867
prob_all_tokens.prob_geo_mean,log1p_abs_error,463,-0.015101738967057732,-0.047282726768026764
prob_all_tokens.logprob_sum,abs_error,463,-0.016363734769882576,-0.04360537354029119
prob_all_tokens.logprob_sum,rel_error,463,-0.024170490489270186,-0.0032464316454498708
prob_all_tokens.logprob_sum,log_error,463,-0.004345809078340779,-0.02122418126603161
prob_all_tokens.logprob_sum,log1p_abs_error,463,-0.01352754670180578,-0.04360537354029119
prob_all_tokens.logprob_avg,abs_error,463,-0.005059882259129313,-0.047282726768026764
prob_all_tokens.logprob_avg,rel_error,463,-0.01297240368899151,-0.021579481709772537
prob_all_tokens.logprob_avg,log_error,463,-0.0031884983478326057,-0.03998956706360867
prob_all_tokens.logprob_avg,log1p_abs_error,463,-0.011948858429614915,-0.047282726768026764
prob_all_tokens.perplexity,abs_error,463,0.0032640161206068754,0.047282726768026764
prob_all_tokens.perplexity,rel_error,463,0.010630583594610615,0.021579481709772537
prob_all_tokens.perplexity,log_error,463,8.906797185771948e-05,0.03998956706360867
prob_all_tokens.perplexity,log1p_abs_error,463,0.008786066369443584,0.047282726768026764
prob_all_tokens.p_min,abs_error,463,-0.0067186820784357415,-0.002648006635278131
prob_all_tokens.p_min,rel_error,463,-0.016270444103791536,0.05311475318853745
prob_all_tokens.p_min,log_error,463,0.009011603812761887,0.03827555664920839
prob_all_tokens.p_min,log1p_abs_error,463,-0.009901170461848543,-0.002648006635278131
