feature,coef_std,n_train,n_test,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2
prob_all_tokens.logprob_avg,129.70927986759736,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_all_tokens.perplexity,59.95959341950436,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_tokens_only.p_min,2.8983988835805397,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_tokens_only.prob_geo_mean,2.1366522013786415,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_all_tokens.p_min,1.1984823415290624,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_tokens_only.logprob_sum,0.49539490284107107,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
confidence_verbalized,-0.09707497940573613,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_all_tokens.logprob_sum,-0.17189805878823167,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
judge_confidence,-0.2175773846009113,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_tokens_only.perplexity,-0.5337967770938287,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_all_tokens.prob_joint,-0.6302278492008909,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_tokens_only.logprob_avg,-2.206575929510352,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_tokens_only.prob_joint,-3.684006078423,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
prob_all_tokens.prob_geo_mean,-70.56524930224222,368,92,1.412471306856263,1.5356014289622593,2.002321237994443,2.3126998769820117,0.07515746833289672,0.13555571125164168
