bin,n,n_correct,n_wrong,accuracy_%,wrong_%,acc_CI95_lo_%,acc_CI95_hi_%,mean_conf_in_bin
"[0.0, 0.5)",80,21,59,26.25,73.75,17.85740148850936,36.81895966442818,0.2505446932657075
"[0.5, 0.7)",39,13,26,33.33333333333333,66.66666666666667,20.632956189598374,49.02260560065401,0.6348517583445149
"[0.7, 0.8)",29,10,19,34.48275862068966,65.51724137931035,19.940718526674996,52.65489590952386,0.7506794407467331
"[0.8, 0.9)",29,8,21,27.586206896551722,72.41379310344827,14.698755102087954,45.71713241686594,0.850354826247117
"[0.9, 0.95)",47,14,33,29.78723404255319,70.2127659574468,18.651250504604835,43.97767391904607,0.9282444101247427
"[0.95, 0.97)",18,9,9,50.0,50.0,29.031021505169974,70.96897849483003,0.960471858335786
"[0.97, 0.98)",18,11,7,61.111111111111114,38.888888888888886,38.61904160223791,79.69475342783639,0.9758871944234075
"[0.98, 0.99)",47,17,30,36.17021276595745,63.829787234042556,23.96621324571415,50.46410346520489,0.9857165612093055
"[0.99, 0.995)",41,15,26,36.58536585365854,63.41463414634146,23.58983101968945,51.87929891208799,0.9928796847779161
"[0.995, 0.999)",78,42,36,53.84615384615385,46.15384615384615,42.86364394039756,64.46760367720094,0.9975063063312504
"[0.999, 1.0)",2969,2772,197,93.36476928258674,6.635230717413265,92.41227212139925,94.20519590266031,0.9999823281799596
